cod_mpio,year,hansen_sedes_all_hl60,hansen_sedes_all_hl120,e2sfca_sedes_all_120min,e2sfca_sedes_all_180min,hansen_sedes_ips_hl60,hansen_sedes_ips_hl120,e2sfca_sedes_ips_120min,e2sfca_sedes_ips_180min
05042,2022,5292.220362531846,9172.34416170614,0.0010915261913854442,0.0009671619615845535,657.1207562473429,1154.90851384149,0.00014194642870712603,0.00013075869968671603
05042,2023,5292.220362531846,9172.34416170614,0.001084292129946896,0.0009602410561193996,657.1207562473429,1154.90851384149,0.00014099174175777833,0.0001297956182697242
05042,2024,5292.220362531846,9172.34416170614,0.0010755403838567906,0.0009519551764102187,657.1207562473429,1154.90851384149,0.000139817037374046,0.0001286313633630333
05042,2025,5292.220362531846,9172.34416170614,0.0010686289337544339,0.0009453717332957057,657.1207562473429,1154.90851384149,0.00013891737523778188,0.0001277182551305304
05044,2021,6718.994926370735,10370.652114493105,0.0010480611885314507,0.00111988991538597,832.2733344382515,1308.4851051554722,0.00011682102420260563,0.00020578251228431442
05044,2022,6718.994926370735,10370.652114493105,0.0010396656689542418,0.0011101780082665214,832.2733344382515,1308.4851051554722,0.00011585708230479824,0.00020382155328606472
05044,2023,6718.994926370735,10370.652114493105,0.0010326146938517632,0.0011019035000528674,832.2733344382515,1308.4851051554722,0.00011504839263675426,0.00020209497566178272
05044,2024,6718.994926370735,10370.652114493105,0.0010243777097411581,0.001092186646437219,832.2733344382515,1308.4851051554722,0.00011412129586931196,0.00020011815064171606
05044,2025,6718.994926370735,10370.652114493105,0.0010176065665138765,0.0010842454847694366,832.2733344382515,1308.4851051554722,0.00011335005578000123,0.0001984421417100232
05045,2021,447.7807721061452,747.2532694613807,0.0012148467720148335,0.001193926681929088,186.594488550345,331.4384354406574,0.00047071340878801813,0.00046422095193890975
05045,2022,447.7807721061452,747.2532694613807,0.00120827533335926,0.0011871383756029321,186.594488550345,331.4384354406574,0.00046807493874539784,0.00046147854870858814
05045,2023,447.7807721061452,747.2532694613807,0.0012024929242130395,0.0011811178284266836,186.594488550345,331.4384354406574,0.00046574002409783893,0.00045903320596856617
05045,2024,447.7807721061452,747.2532694613807,0.001165972926005316,0.001150354119378408,186.594488550345,331.4384354406574,0.00045247115419123186,0.0004476055584705838
05045,2025,447.7807721061452,747.2532694613807,0.001160380019883848,0.001144649408279662,186.594488550345,331.4384354406574,0.0004502367084548942,0.0004453099340161995
05051,2021,446.7743170503404,890.4140467489352,0.0005458830252821904,0.0005496166485720473,220.91036804474226,448.6514730984672,0.00022788432169686227,0.00025050992389248167
05051,2022,446.7743170503404,890.4140467489352,0.00053924528590057,0.0005425710676018595,220.91036804474226,448.6514730984672,0.0002246763048562758,0.00024711680630645793
05051,2023,446.7743170503404,890.4140467489352,0.0005329938220658289,0.0005359315036757345,220.91036804474226,448.6514730984672,0.00022164194287136726,0.00024391457948324478
05051,2024,446.7743170503404,890.4140467489352,0.0005265961381613849,0.0005277454057140631,220.91036804474226,448.6514730984672,0.00021861863738995095,0.0002401091536771397
05051,2025,446.7743170503404,890.4140467489352,0.0005210965082743758,0.0005218247457614018,220.91036804474226,448.6514730984672,0.00021593092464366635,0.00023725849860862052
05055,2021,3298.377225077484,7898.3623572529705,0.000816190731299121,0.0009878597504416504,445.05925287202905,1081.7789170743154,0.00015720355918467336,0.00017102157943582486
05055,2022,3298.377225077484,7898.3623572529705,0.0008113834596596339,0.0009804563991206098,445.05925287202905,1081.7789170743154,0.00015656338234334343,0.00016987219743608962
05055,2023,3298.377225077484,7898.3623572529705,0.0008078179374576195,0.0009746054848092741,445.05925287202905,1081.7789170743154,0.00015617369550406524,0.0001689975046568331
05055,2024,3298.377225077484,7898.3623572529705,0.0008033606445792985,0.0009676545914341148,445.05925287202905,1081.7789170743154,0.00015556446650672349,0.00016790693664232392
05055,2025,3298.377225077484,7898.3623572529705,0.0007996812808789807,0.0009617981633845697,445.05925287202905,1081.7789170743154,0.00015512010305533116,0.0001670085596428345
05059,2021,8410.209852404128,11630.900738604185,0.0024711563422231187,0.002309557434372904,1034.5154192602438,1462.4922455988394,0.00028698569258535703,0.0002811089504794658
05059,2022,8410.209852404128,11630.900738604185,0.0024511049913037946,0.002290494430915324,1034.5154192602438,1462.4922455988394,0.00028466287784387494,0.00027880268364478665
05059,2023,8410.209852404128,11630.900738604185,0.002434359268120493,0.0022745785177657445,1034.5154192602438,1462.4922455988394,0.000282730615536946,0.000276880004408868
05059,2024,8410.209852404128,11630.900738604185,0.0024152443957192247,0.0022566642634742414,1034.5154192602438,1462.4922455988394,0.00028053279168768454,0.00027470790013132544
05059,2025,8410.209852404128,11630.900738604185,0.0023991707378978777,0.002241423187338664,1034.5154192602438,1462.4922455988394,0.0002786798977006366,0.0002728649321102112
05079,2021,6802.4155927737065,10470.172166158169,0.0012570194283089932,0.0013142673816954318,823.6979920022319,1281.2888582003309,0.0001568108761197026,0.00016118419871360607
05079,2022,6802.4155927737065,10470.172166158169,0.0012455543283160719,0.0013026814964632273,823.6979920022319,1281.2888582003309,0.00015537163170781812,0.000159799185839326
05079,2023,6802.4155927737065,10470.172166158169,0.0012357900782818563,0.0012928307218836822,823.6979920022319,1281.2888582003309,0.00015414078676143436,0.00015862321375680367
05079,2024,6802.4155927737065,10470.172166158169,0.0012250639566091439,0.0012819919546818393,823.6979920022319,1281.2888582003309,0.00015278008349106187,0.0001573218567985762
05079,2025,6802.4155927737065,10470.172166158169,0.0012157919356506708,0.0012726298430634194,823.6979920022319,1281.2888582003309,0.00015161587937955422,0.00015620480789530806
05086,2021,5454.304521845471,9271.512086802351,0.0011161856746865356,0.001049232975063432,666.8135842909896,1132.1351322024395,0.00016269911735743435,0.0001388191779816185
05086,2022,5454.304521845471,9271.512086802351,0.0011074175275376777,0.0010403301170557387,666.8135842909896,1132.1351322024395,0.0001614434915599654,0.000137642198314649
05086,2023,5454.304521845471,9271.512086802351,0.0010999267676329624,0.0010327910409544667,666.8135842909896,1132.1351322024395,0.0001603620164482826,0.0001366416313356406
05086,2024,5454.304521845471,9271.512086802351,0.0010913710961385846,0.0010238759118591859,666.8135842909896,1132.1351322024395,0.00015909830273632306,0.00013544309779763564
05086,2025,5454.304521845471,9271.512086802351,0.0010843472605186798,0.001016722869281566,666.8135842909896,1132.1351322024395,0.00015809362280517494,0.0001344974306355176
