cod_dpto,departamento,cod_mpio,municipio,year,population_total,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps,rips_f_atenciones,rips_f_rows,rips_f_diagnosticos_distinct,rips_f_tipos_atencion_distinct,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct,departamento_ipm,ipm_total_pct,capacidad_salud_mental_reps,capacidad_salud_mental_reps_per_100k_dept,capacity_baseline_source_year,capacidad_salud_mental_reps_baseline,department_population_total,capacidad_salud_mental_reps_baseline_per_100k_dept,capacity_access_per_100k_dept_for_proxy,reps_source_static_cut_2026,rips_source_available,sivigila_microdata_available,sedes_reps_per_100k,prestadores_reps_per_100k,rips_f_atenciones_per_100k,sivigila_intento_confirmados_per_100k,z_need_sivigila,z_need_ipm,z_access_reps,z_access_capacity,need_proxy_z,access_proxy_z,brecha_proxy_z,analysis_eligible_population
05,Antioquia,05034,Andes,2023,44976,75.0,67.0,75.0,15.0,7.0,68.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,20.0,20.0,2.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,166.75560298826042,148.96833866951263,,44.46816079686944,-0.3832831609395532,-0.5797766122186857,1.6583676904256002,-0.6401467370722275,-0.48152988657911944,0.5091104766766863,-0.9906403632558057,True
05,Antioquia,05034,Andes,2024,45212,75.0,67.0,75.0,15.0,7.0,68.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,21.0,21.0,2.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,165.88516323100063,148.1907458196939,,46.44784570468017,-0.3137390127664726,-0.27387395015539306,1.6726581050761653,-0.6391705051005323,-0.2938064814609328,0.5167437999878165,-0.8105502814487493,True
05,Antioquia,05034,Andes,2025,45367,75.0,67.0,75.0,15.0,7.0,68.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,165.3184032446492,147.6844402318866,,,,,,,,,,True
05,Antioquia,05036,Angelópolis,2021,5999,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,109.0,41.0,24.0,4.0,3.0,3.0,1.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,50.008334722453746,50.008334722453746,1816.9694949158193,50.008334722453746,0.03173818860347262,-0.4398431594451328,-0.2871625832266286,-0.6423664678863457,-0.2040524854208301,-0.4647645255564871,0.260712040135657,True
05,Antioquia,05036,Angelópolis,2022,6035,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,4.0,4.0,1.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,49.71002485501243,49.71002485501243,,66.28003314001657,0.17093418556924633,-0.5107888765212991,-0.28572540816192304,-0.6412964454504829,-0.1699273454760264,-0.463510926806203,0.2935835813301766,True
05,Antioquia,05036,Angelópolis,2023,6096,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,3.0,3.0,2.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,49.21259842519685,49.21259842519685,,49.21259842519685,-0.28101454884003246,-0.5797766122186857,-0.2883798969636259,-0.6401467370722275,-0.4303955805293591,-0.46426331701792667,0.03386773648856756,True
05,Antioquia,05036,Angelópolis,2024,6149,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,4.0,4.0,2.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,48.78842088144414,48.78842088144414,,65.05122784192552,0.13144797071423514,-0.27387395015539306,-0.2890522173081698,-0.6391705051005323,-0.07121298972057896,-0.46411136120435104,0.39289837148377205,True
05,Antioquia,05036,Angelópolis,2025,6203,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,48.363694986296956,48.363694986296956,,,,,,,,,,True
05,Antioquia,05038,Angostura,2021,12064,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,1083.0,160.0,91.0,4.0,6.0,6.0,1.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,24.86737400530504,24.86737400530504,8977.12201591512,49.73474801061008,0.0243439396134388,-0.4398431594451328,-0.6935051447230531,-0.6423664678863457,-0.207749609915847,-0.6679358063046994,0.4601861963888524,True
05,Antioquia,05038,Angostura,2022,12153,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,14.0,14.0,1.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,24.685262898049864,24.685262898049864,,115.19789352423271,1.29597767772233,-0.5107888765212991,-0.6956063385470923,-0.6412964454504829,0.3925944006005154,-0.6684513919987876,1.061045792599303,True
05,Antioquia,05038,Angostura,2023,12256,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,6.0,6.0,1.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,24.477806788511746,24.477806788511746,,48.95561357702349,-0.28655397960341267,-0.5797766122186857,-0.6980375888210556,-0.6401467370722275,-0.4331652959110492,-0.6690921629466415,0.23592686703559235,True
05,Antioquia,05038,Angostura,2024,12413,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,7.0,7.0,1.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,24.168210746797712,24.168210746797712,,56.392491742528,-0.07575933043176364,-0.27387395015539306,-0.7015122003214398,-0.6391705051005323,-0.17481664029357835,-0.670341352710986,0.4955247124174077,True
05,Antioquia,05038,Angostura,2025,12511,3.0,3.0,3.0,1.0,1.0,2.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,23.97889856925905,23.97889856925905,,,,,,,,,,True
05,Antioquia,05040,Anorí,2021,19662,14.0,13.0,14.0,3.0,2.0,12.0,Fecha corte REPS: Mar 12 2026  3:11PM,1992.0,194.0,87.0,4.0,4.0,4.0,1.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,71.20333638490489,66.11738378598311,10131.217577052183,20.34381039568711,-0.7700071796743924,-0.4398431594451328,0.05540313505822654,-0.6423664678863457,-0.6049251695597626,-0.29348166641405954,-0.31144350314570307,True
05,Antioquia,05040,Anorí,2022,20007,14.0,13.0,14.0,3.0,2.0,12.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,8.0,8.0,1.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,69.9755085719998,64.9772579597141,,39.9860048982856,-0.4337922910898541,-0.5107888765212991,0.04620323655044782,-0.6412964454504829,-0.47229058380557665,-0.29754660445001757,-0.17474397935555908,True
05,Antioquia,05040,Anorí,2023,20320,14.0,13.0,14.0,3.0,2.0,12.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,2.0,2.0,1.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,68.89763779527559,63.976377952755904,,9.84251968503937,-1.1296553417898563,-0.5797766122186857,0.03764378299771528,-0.6401467370722275,-0.8547159770042709,-0.3012514770372561,-0.5534644999670149,True
05,Antioquia,05040,Anorí,2024,20688,14.0,13.0,14.0,3.0,2.0,12.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,2.0,2.0,1.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,67.67208043310131,62.83836040216551,,9.667440061871616,-1.1939100332034747,-0.27387395015539306,0.027303892380117586,-0.6391705051005323,-0.7338919916794339,-0.3059333063602074,-0.4279586853192265,True
05,Antioquia,05040,Anorí,2025,21035,14.0,13.0,14.0,3.0,2.0,12.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,66.55574043261231,61.80175897314,,,,,,,,,,True
05,Antioquia,05042,Santafé de Antioquia,2021,27275,48.0,45.0,48.0,6.0,3.0,45.0,Fecha corte REPS: Mar 12 2026  3:11PM,2208.0,279.0,109.0,4.0,8.0,8.0,2.0,Antioquia,14.3,,,2020,606.0,6721140,9.0163275872843,9.0163275872843,True,True,True,175.9853345554537,164.98625114573787,8095.3253895508715,29.330889092575617,-0.5271127162335084,-0.4398431594451328,1.7489496154157709,-0.6423664678863457,-0.4834779378393206,0.5532915737647126,-1.0367695116040332,True
05,Antioquia,05042,Santafé de Antioquia,2022,27582,48.0,45.0,48.0,6.0,3.0,45.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,8.0,8.0,3.0,Antioquia,10.7,,,2020,606.0,6777249,8.941681204276248,8.941681204276248,True,False,True,174.0265390472047,163.1498803567544,,29.004423174534118,-0.6863535632881009,-0.5107888765212991,1.7504565378229744,-0.6412964454504829,-0.5985712199047,0.5545800461862458,-1.1531512660909458,True
05,Antioquia,05042,Santafé de Antioquia,2023,27882,48.0,45.0,48.0,6.0,3.0,45.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,13.0,13.0,5.0,Antioquia,9.5,,,2020,606.0,6826125,8.87765752897874,8.87765752897874,True,False,True,172.15407789972025,161.39444803098775,,46.62506276450757,-0.3367901120378143,-0.5797766122186857,1.7477772477917062,-0.6401467370722275,-0.45828336212825,0.5538152553597393,-1.0120986174879893,True
05,Antioquia,05042,Santafé de Antioquia,2024,28130,48.0,45.0,48.0,6.0,3.0,45.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,11.0,11.0,3.0,Antioquia,10.9,,,2020,606.0,6880799,8.807116731647008,8.807116731647008,True,False,True,170.63633131887664,159.97156061144685,,39.1041592605759,-0.4894766066921243,-0.27387395015539306,1.7522539614113155,-0.6391705051005323,-0.3816752784237587,0.5565417281553916,-0.9382170065791503,True
05,Antioquia,05042,Santafé de Antioquia,2025,28421,48.0,45.0,48.0,6.0,3.0,45.0,Fecha corte REPS: Mar 12 2026  3:11PM,,,,,,,,Antioquia,9.5,,,2020,606.0,6928372,8.746643511635922,8.746643511635922,True,False,False,168.8892016466697,158.33362654375287,,,,,,,,,,True
