cod_dpto,departamento,cod_mpio,municipio,year,area_geografica,population
05,Antioquia,05059,Armenia,2020,Cabecera Municipal,1814
05,Antioquia,05059,Armenia,2020,Centros Poblados y Rural Disperso,3454
05,Antioquia,05059,Armenia,2020,Total,5268
05,Antioquia,05059,Armenia,2021,Cabecera Municipal,1839
05,Antioquia,05059,Armenia,2021,Centros Poblados y Rural Disperso,3447
05,Antioquia,05059,Armenia,2021,Total,5286
05,Antioquia,05059,Armenia,2022,Cabecera Municipal,1870
05,Antioquia,05059,Armenia,2022,Centros Poblados y Rural Disperso,3425
05,Antioquia,05059,Armenia,2022,Total,5295
05,Antioquia,05059,Armenia,2023,Cabecera Municipal,1888
05,Antioquia,05059,Armenia,2023,Centros Poblados y Rural Disperso,3398
05,Antioquia,05059,Armenia,2023,Total,5286
05,Antioquia,05059,Armenia,2024,Cabecera Municipal,1897
05,Antioquia,05059,Armenia,2024,Centros Poblados y Rural Disperso,3411
05,Antioquia,05059,Armenia,2024,Total,5308
05,Antioquia,05059,Armenia,2025,Cabecera Municipal,1917
05,Antioquia,05059,Armenia,2025,Centros Poblados y Rural Disperso,3393
05,Antioquia,05059,Armenia,2025,Total,5310
05,Antioquia,05079,Barbosa,2019,Cabecera Municipal,23211
05,Antioquia,05079,Barbosa,2019,Centros Poblados y Rural Disperso,31790
05,Antioquia,05079,Barbosa,2019,Total,55001
05,Antioquia,05079,Barbosa,2020,Cabecera Municipal,24300
05,Antioquia,05079,Barbosa,2020,Centros Poblados y Rural Disperso,34053
05,Antioquia,05079,Barbosa,2020,Total,58353
05,Antioquia,05079,Barbosa,2021,Cabecera Municipal,24915
05,Antioquia,05079,Barbosa,2021,Centros Poblados y Rural Disperso,34655
05,Antioquia,05079,Barbosa,2021,Total,59570
05,Antioquia,05079,Barbosa,2022,Cabecera Municipal,25461
05,Antioquia,05079,Barbosa,2022,Centros Poblados y Rural Disperso,35110
05,Antioquia,05079,Barbosa,2022,Total,60571
05,Antioquia,05079,Barbosa,2023,Cabecera Municipal,25977
05,Antioquia,05079,Barbosa,2023,Centros Poblados y Rural Disperso,35529
05,Antioquia,05079,Barbosa,2023,Total,61506
05,Antioquia,05079,Barbosa,2024,Cabecera Municipal,26506
05,Antioquia,05079,Barbosa,2024,Centros Poblados y Rural Disperso,36000
05,Antioquia,05079,Barbosa,2024,Total,62506
05,Antioquia,05079,Barbosa,2025,Cabecera Municipal,27023
05,Antioquia,05079,Barbosa,2025,Centros Poblados y Rural Disperso,36432
05,Antioquia,05079,Barbosa,2025,Total,63455
05,Antioquia,05086,Belmira,2019,Cabecera Municipal,1660
05,Antioquia,05086,Belmira,2019,Centros Poblados y Rural Disperso,4412
05,Antioquia,05086,Belmira,2019,Total,6072
05,Antioquia,05086,Belmira,2020,Cabecera Municipal,1705
05,Antioquia,05086,Belmira,2020,Centros Poblados y Rural Disperso,4466
05,Antioquia,05086,Belmira,2020,Total,6171
05,Antioquia,05086,Belmira,2021,Cabecera Municipal,1722
05,Antioquia,05086,Belmira,2021,Centros Poblados y Rural Disperso,4453
05,Antioquia,05086,Belmira,2021,Total,6175
05,Antioquia,05086,Belmira,2022,Cabecera Municipal,1755
05,Antioquia,05086,Belmira,2022,Centros Poblados y Rural Disperso,4408
05,Antioquia,05086,Belmira,2022,Total,6163
05,Antioquia,05086,Belmira,2023,Cabecera Municipal,1772
05,Antioquia,05086,Belmira,2023,Centros Poblados y Rural Disperso,4377
05,Antioquia,05086,Belmira,2023,Total,6149
05,Antioquia,05086,Belmira,2024,Cabecera Municipal,1785
