departamento,year,ipm_domain,ipm_pct,cod_dpto
La Guajira,2022,Total,42.9,44
La Guajira,2023,Cabeceras,23.6,44
La Guajira,2023,Centros poblados  y rural disperso,61.7,44
La Guajira,2023,Total,42.6,44
La Guajira,2024,Cabeceras,17.4,44
La Guajira,2024,Centros poblados  y rural disperso,61.3,44
La Guajira,2024,Total,39.3,44
La Guajira,2025,Cabeceras,19.5,44
La Guajira,2025,Centros poblados  y rural disperso,61.0,44
La Guajira,2025,Total,40.1,44
Magdalena,2018,Cabeceras,31.1,47
Magdalena,2018,Centros poblados  y rural disperso,48.5,47
Magdalena,2018,Total,36.4,47
Magdalena,2019,Cabeceras,24.6,47
Magdalena,2019,Centros poblados  y rural disperso,47.8,47
Magdalena,2019,Total,31.6,47
Magdalena,2020,Cabeceras,27.3,47
Magdalena,2020,Centros poblados  y rural disperso,47.0,47
Magdalena,2020,Total,33.4,47
Magdalena,2021,Cabeceras,27.2,47
Magdalena,2021,Centros poblados  y rural disperso,43.7,47
Magdalena,2021,Total,32.4,47
Magdalena,2022,Cabeceras,17.5,47
Magdalena,2022,Centros poblados  y rural disperso,34.9,47
Magdalena,2022,Total,23.0,47
Magdalena,2023,Cabeceras,15.9,47
Magdalena,2023,Centros poblados  y rural disperso,33.0,47
Magdalena,2023,Total,21.4,47
Magdalena,2024,Cabeceras,15.0,47
Magdalena,2024,Centros poblados  y rural disperso,28.1,47
Magdalena,2024,Total,19.2,47
Magdalena,2025,Cabeceras,13.6,47
Magdalena,2025,Centros poblados  y rural disperso,25.8,47
Magdalena,2025,Total,17.6,47
Meta,2018,Cabeceras,10.7,50
Meta,2018,Centros poblados  y rural disperso,31.4,50
Meta,2018,Total,15.6,50
Meta,2019,Cabeceras,17.8,50
Meta,2019,Centros poblados  y rural disperso,23.1,50
Meta,2019,Total,19.1,50
Meta,2020,Cabeceras,9.7,50
Meta,2020,Centros poblados  y rural disperso,28.2,50
Meta,2020,Total,14.1,50
Meta,2021,Cabeceras,11.3,50
Meta,2021,Centros poblados  y rural disperso,26.4,50
Meta,2021,Total,14.9,50
Meta,2022,Cabeceras,8.5,50
Meta,2022,Centros poblados  y rural disperso,20.3,50
Meta,2022,Total,11.3,50
Meta,2023,Cabeceras,10.6,50
Meta,2023,Centros poblados  y rural disperso,20.2,50
Meta,2023,Total,12.9,50
Meta,2024,Cabeceras,8.0,50
Meta,2024,Centros poblados  y rural disperso,18.2,50
Meta,2024,Total,10.4,50
Meta,2025,Cabeceras,7.8,50
Meta,2025,Centros poblados  y rural disperso,26.4,50
Meta,2025,Total,12.3,50
Nariño,2018,Cabeceras,22.0,52
Nariño,2018,Centros poblados  y rural disperso,41.7,52
Nariño,2018,Total,33.1,52
Nariño,2019,Cabeceras,18.4,52
Nariño,2019,Centros poblados  y rural disperso,26.9,52
Nariño,2019,Total,23.2,52
Nariño,2020,Cabeceras,15.0,52
Nariño,2020,Centros poblados  y rural disperso,36.8,52
Nariño,2020,Total,27.3,52
Nariño,2021,Cabeceras,13.4,52
Nariño,2021,Centros poblados  y rural disperso,28.9,52
Nariño,2021,Total,22.1,52
Nariño,2022,Cabeceras,12.7,52
Nariño,2022,Centros poblados  y rural disperso,21.4,52
Nariño,2022,Total,17.6,52
Nariño,2023,Cabeceras,11.6,52
Nariño,2023,Centros poblados  y rural disperso,20.5,52
Nariño,2023,Total,16.6,52
Nariño,2024,Cabeceras,10.0,52
Nariño,2024,Centros poblados  y rural disperso,24.5,52
Nariño,2024,Total,18.1,52
Nariño,2025,Cabeceras,8.2,52
Nariño,2025,Centros poblados  y rural disperso,17.2,52
Nariño,2025,Total,13.2,52
Norte de Santander,2018,Cabeceras,25.9,54
Norte de Santander,2018,Centros poblados  y rural disperso,43.0,54
Norte de Santander,2018,Total,29.5,54
Norte de Santander,2019,Cabeceras,19.3,54
Norte de Santander,2019,Centros poblados  y rural disperso,42.8,54
Norte de Santander,2019,Total,24.2,54
Norte de Santander,2020,Cabeceras,20.8,54
Norte de Santander,2020,Centros poblados  y rural disperso,46.2,54
Norte de Santander,2020,Total,26.1,54
Norte de Santander,2021,Cabeceras,19.7,54
Norte de Santander,2021,Centros poblados  y rural disperso,44.0,54
Norte de Santander,2021,Total,24.7,54
Norte de Santander,2022,Cabeceras,13.0,54
Norte de Santander,2022,Centros poblados  y rural disperso,39.8,54
Norte de Santander,2022,Total,18.5,54
Norte de Santander,2023,Cabeceras,16.4,54
Norte de Santander,2023,Centros poblados  y rural disperso,36.2,54
Norte de Santander,2023,Total,20.5,54
Norte de Santander,2024,Cabeceras,8.5,54
Norte de Santander,2024,Centros poblados  y rural disperso,41.1,54
Norte de Santander,2024,Total,15.2,54
Norte de Santander,2025,Cabeceras,9.1,54
Norte de Santander,2025,Centros poblados  y rural disperso,29.5,54
Norte de Santander,2025,Total,13.3,54
Quindío,2018,Cabeceras,13.5,63
Quindío,2018,Centros poblados  y rural disperso,19.0,63
Quindío,2018,Total,14.2,63
Quindío,2019,Cabeceras,9.1,63
Quindío,2019,Centros poblados  y rural disperso,18.0,63
Quindío,2019,Total,10.2,63
Quindío,2020,Cabeceras,11.8,63
Quindío,2020,Centros poblados  y rural disperso,21.0,63
Quindío,2020,Total,12.9,63
Quindío,2021,Cabeceras,10.0,63
Quindío,2021,Centros poblados  y rural disperso,17.1,63
Quindío,2021,Total,10.9,63
Quindío,2022,Cabeceras,9.3,63
Quindío,2022,Centros poblados  y rural disperso,15.3,63
Quindío,2022,Total,10.0,63
Quindío,2023,Cabeceras,6.7,63
Quindío,2023,Centros poblados  y rural disperso,13.5,63
Quindío,2023,Total,7.5,63
Quindío,2024,Cabeceras,6.8,63
Quindío,2024,Centros poblados  y rural disperso,11.3,63
Quindío,2024,Total,7.4,63
Quindío,2025,Cabeceras,6.0,63
Quindío,2025,Centros poblados  y rural disperso,11.2,63
Quindío,2025,Total,6.7,63
Risaralda,2018,Cabeceras,7.0,66
Risaralda,2018,Centros poblados  y rural disperso,28.0,66
Risaralda,2018,Total,11.6,66
Risaralda,2019,Cabeceras,6.5,66
Risaralda,2019,Centros poblados  y rural disperso,28.2,66
Risaralda,2019,Total,11.1,66
Risaralda,2020,Cabeceras,8.9,66
Risaralda,2020,Centros poblados  y rural disperso,29.5,66
Risaralda,2020,Total,13.1,66
Risaralda,2021,Cabeceras,8.0,66
Risaralda,2021,Centros poblados  y rural disperso,21.5,66
Risaralda,2021,Total,10.7,66
Risaralda,2022,Cabeceras,6.6,66
Risaralda,2022,Centros poblados  y rural disperso,23.9,66
Risaralda,2022,Total,10.0,66
Risaralda,2023,Cabeceras,8.8,66
Risaralda,2023,Centros poblados  y rural disperso,24.0,66
Risaralda,2023,Total,11.8,66
Risaralda,2024,Cabeceras,6.3,66
Risaralda,2024,Centros poblados  y rural disperso,23.0,66
Risaralda,2024,Total,9.5,66
Risaralda,2025,Cabeceras,1.8,66
Risaralda,2025,Centros poblados  y rural disperso,17.6,66
Risaralda,2025,Total,4.9,66
Santander,2018,Cabeceras,8.2,68
Santander,2018,Centros poblados  y rural disperso,26.8,68
Santander,2018,Total,12.6,68
Santander,2019,Cabeceras,8.8,68
Santander,2019,Centros poblados  y rural disperso,24.1,68
Santander,2019,Total,12.4,68
Santander,2020,Cabeceras,8.2,68
Santander,2020,Centros poblados  y rural disperso,26.6,68
Santander,2020,Total,12.5,68
Santander,2021,Cabeceras,9.1,68
Santander,2021,Centros poblados  y rural disperso,27.3,68
Santander,2021,Total,13.3,68
Santander,2022,Cabeceras,7.4,68
Santander,2022,Centros poblados  y rural disperso,20.6,68
Santander,2022,Total,10.4,68
Santander,2023,Cabeceras,6.6,68
Santander,2023,Centros poblados  y rural disperso,20.7,68
Santander,2023,Total,9.8,68
Santander,2024,Cabeceras,4.9,68
Santander,2024,Centros poblados  y rural disperso,13.6,68
Santander,2024,Total,6.8,68
Santander,2025,Cabeceras,5.0,68
Santander,2025,Centros poblados  y rural disperso,13.9,68
Santander,2025,Total,6.9,68
Sucre,2018,Cabeceras,32.8,70
Sucre,2018,Centros poblados  y rural disperso,56.8,70
Sucre,2018,Total,41.7,70
Sucre,2019,Cabeceras,25.4,70
Sucre,2019,Centros poblados  y rural disperso,46.6,70
Sucre,2019,Total,33.3,70
Sucre,2020,Cabeceras,29.5,70
Sucre,2020,Centros poblados  y rural disperso,52.2,70
Sucre,2020,Total,38.1,70
Sucre,2021,Cabeceras,23.7,70
Sucre,2021,Centros poblados  y rural disperso,41.0,70
Sucre,2021,Total,30.3,70
Sucre,2022,Cabeceras,19.8,70
Sucre,2022,Centros poblados  y rural disperso,36.0,70
Sucre,2022,Total,26.0,70
Sucre,2023,Cabeceras,15.9,70
Sucre,2023,Centros poblados  y rural disperso,34.6,70
Sucre,2023,Total,23.1,70
Sucre,2024,Cabeceras,12.4,70
Sucre,2024,Centros poblados  y rural disperso,36.4,70
Sucre,2024,Total,21.8,70
Sucre,2025,Cabeceras,16.7,70
Sucre,2025,Centros poblados  y rural disperso,38.8,70
Sucre,2025,Total,25.4,70
Tolima,2018,Cabeceras,11.8,73
Tolima,2018,Centros poblados  y rural disperso,44.7,73
Tolima,2018,Total,22.2,73
Tolima,2019,Cabeceras,8.4,73
Tolima,2019,Centros poblados  y rural disperso,30.0,73
Tolima,2019,Total,15.2,73
Tolima,2020,Cabeceras,12.1,73
Tolima,2020,Centros poblados  y rural disperso,34.0,73
Tolima,2020,Total,19.0,73
Tolima,2021,Cabeceras,11.0,73
Tolima,2021,Centros poblados  y rural disperso,29.0,73
Tolima,2021,Total,16.6,73
Tolima,2022,Cabeceras,5.4,73
