cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
13657,21,16,21,11,5,16,Fecha corte REPS: Mar 12 2026  3:11PM
13667,8,6,8,4,3,5,Fecha corte REPS: Mar 12 2026  3:11PM
13670,15,12,15,5,4,11,Fecha corte REPS: Mar 12 2026  3:11PM
13673,5,3,5,5,3,2,Fecha corte REPS: Mar 12 2026  3:11PM
13683,7,6,7,5,2,5,Fecha corte REPS: Mar 12 2026  3:11PM
13688,54,42,54,14,11,43,Fecha corte REPS: Mar 12 2026  3:11PM
13744,7,7,7,2,1,6,Fecha corte REPS: Mar 12 2026  3:11PM
13760,5,5,5,3,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
13780,5,5,5,3,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
13810,7,5,7,4,3,4,Fecha corte REPS: Mar 12 2026  3:11PM
13836,60,56,60,31,4,56,Fecha corte REPS: Mar 12 2026  3:11PM
13838,5,5,5,2,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
13873,10,8,10,5,3,7,Fecha corte REPS: Mar 12 2026  3:11PM
13894,8,6,8,5,2,6,Fecha corte REPS: Mar 12 2026  3:11PM
15001,706,642,706,193,17,689,Fecha corte REPS: Mar 12 2026  3:11PM
15022,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15047,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15051,3,3,3,1,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15087,7,7,7,1,1,6,Fecha corte REPS: Mar 12 2026  3:11PM
15090,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15092,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15097,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15104,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15106,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15109,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15114,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15131,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15135,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15162,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15172,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15176,103,101,103,29,3,100,Fecha corte REPS: Mar 12 2026  3:11PM
15180,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15183,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15185,2,2,2,2,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15187,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
15189,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15204,3,3,3,2,1,2,Fecha corte REPS: Mar 12 2026  3:11PM
15212,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15215,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15218,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15223,5,5,5,1,1,4,Fecha corte REPS: Mar 12 2026  3:11PM
15224,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15226,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
15232,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
