cod_mpio,year,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados,sivigila_intento_suicidio_occurrence_mpio_distinct
15299,2021,5,5,1
15299,2022,3,3,1
15299,2023,7,7,1
15299,2024,5,5,1
15317,2022,2,2,1
15317,2023,1,1,1
15317,2024,2,2,1
15322,2021,4,4,1
15322,2022,8,8,1
15322,2023,7,7,1
15322,2024,9,9,2
15325,2022,5,5,1
15325,2023,1,1,1
15332,2021,4,4,1
15332,2022,2,2,1
15332,2023,4,4,1
15332,2024,6,6,2
15362,2022,3,3,1
15362,2023,6,6,1
15362,2024,2,2,1
15367,2021,2,2,1
15367,2022,4,4,1
15367,2023,4,4,1
15367,2024,8,8,1
15368,2022,1,1,1
15368,2023,1,1,1
15368,2024,2,2,1
15377,2022,1,1,1
15377,2023,1,1,1
15377,2024,1,1,1
15380,2024,2,2,1
15401,2022,1,1,1
15403,2021,2,2,1
15403,2022,2,2,1
15403,2024,1,1,1
15407,2021,8,8,1
15407,2022,8,8,1
15407,2023,18,18,2
15407,2024,13,13,1
15425,2021,2,2,1
15425,2023,3,3,1
15425,2024,2,2,1
15442,2021,2,2,1
15442,2022,8,8,1
15442,2023,6,6,1
15455,2021,3,3,1
15455,2022,4,4,1
15455,2023,4,4,1
15455,2024,2,2,1
15464,2022,1,1,1
15464,2023,1,1,1
15464,2024,2,2,2
15466,2021,3,3,2
15466,2022,1,1,1
15466,2023,4,4,1
15466,2024,2,2,1
15469,2021,9,9,1
15469,2022,20,20,2
15469,2023,24,24,3
15469,2024,19,19,1
15476,2021,3,3,1
15476,2022,4,4,1
15476,2023,6,6,1
15476,2024,1,1,1
15480,2021,9,9,1
15480,2022,5,5,1
15480,2023,3,3,1
15480,2024,6,6,1
15491,2021,14,14,2
15491,2022,18,18,2
15491,2023,17,17,3
15491,2024,6,6,1
15494,2021,3,3,1
15494,2022,4,4,1
15494,2023,3,3,2
15494,2024,2,2,1
15500,2023,1,1,1
15500,2024,4,4,1
15507,2022,9,9,2
15507,2023,6,6,1
15507,2024,5,5,1
15511,2021,1,1,1
15511,2022,1,1,1
15514,2021,3,3,1
15514,2022,2,2,1
15516,2021,21,21,2
15516,2022,40,40,4
15516,2023,34,34,4
15516,2024,33,33,4
15518,2022,2,2,1
15518,2023,2,2,1
15518,2024,2,2,1
15522,2021,2,2,2
15522,2022,2,2,1
15531,2021,1,1,1
15531,2022,5,5,1
15531,2023,3,3,1
15531,2024,5,5,1
15533,2021,1,1,1
15533,2022,1,1,1
15533,2023,1,1,1
15537,2021,1,1,1
15537,2023,1,1,1
15537,2024,3,3,1
15542,2021,3,3,1
15542,2022,6,6,2
15542,2023,6,6,2
15542,2024,5,5,2
15550,2022,2,2,1
15550,2024,1,1,1
15572,2021,28,28,1
15572,2022,48,48,3
15572,2023,53,53,3
15572,2024,56,56,3
15580,2021,5,5,1
15580,2022,2,2,1
15580,2023,1,1,1
15580,2024,1,1,1
15599,2021,6,6,1
15599,2022,6,6,1
15599,2023,1,1,1
15599,2024,5,5,1
15600,2021,1,1,1
15600,2022,1,1,1
15600,2023,8,8,1
15600,2024,2,2,1
15621,2021,1,1,1
15621,2022,6,6,1
15621,2023,2,2,1
15621,2024,1,1,1
15632,2021,7,7,1
15632,2022,7,7,1
15632,2023,4,4,2
15632,2024,5,5,1
15638,2023,4,4,2
15638,2024,7,7,1
15646,2021,6,6,1
15646,2022,11,11,1
15646,2023,10,10,1
15646,2024,9,9,1
15660,2021,2,2,1
15660,2024,1,1,1
15664,2021,1,1,1
15664,2022,6,6,1
15664,2023,8,8,1
15664,2024,1,1,1
15667,2021,4,4,1
15667,2022,1,1,1
15667,2023,3,3,1
15667,2024,1,1,1
15673,2021,4,4,1
15673,2022,2,2,1
15673,2023,3,3,1
15673,2024,1,1,1
15676,2021,4,4,1
15676,2022,4,4,1
15676,2023,2,2,1
15676,2024,6,6,1
15681,2021,6,6,1
15681,2022,1,1,1
15681,2023,3,3,1
15681,2024,2,2,1
15686,2021,4,4,2
15686,2022,7,7,1
15686,2023,5,5,2
15686,2024,3,3,1
15690,2021,3,3,1
15690,2022,1,1,1
15690,2023,4,4,1
15690,2024,3,3,1
15693,2021,9,9,1
15693,2022,19,19,3
15693,2023,13,13,1
15693,2024,12,12,1
15696,2021,1,1,1
15696,2022,1,1,1
15696,2023,5,5,1
15696,2024,4,4,1
15720,2021,1,1,1
15720,2022,1,1,1
15720,2023,1,1,1
15720,2024,2,2,1
15723,2022,1,1,1
15723,2024,2,2,1
15740,2021,5,5,1
15740,2022,4,4,1
15740,2023,4,4,1
15740,2024,8,8,2
15753,2021,3,3,2
15753,2022,3,3,2
15753,2023,7,7,1
15753,2024,6,6,1
15755,2021,6,6,2
15755,2022,6,6,1
15755,2023,2,2,2
15755,2024,6,6,1
15757,2021,6,6,1
15757,2022,9,9,1
15757,2023,7,7,2
15757,2024,9,9,2
15759,2021,136,136,3
15759,2022,164,164,1
15759,2023,215,215,7
15759,2024,162,162,6
15761,2021,6,6,1
15761,2022,4,4,1
15761,2023,3,3,1
15761,2024,1,1,1
15762,2021,3,3,1
15762,2022,1,1,1
15762,2023,2,2,1
15762,2024,1,1,1
15763,2021,3,3,1
15763,2022,3,3,1
15763,2023,10,10,1
15763,2024,7,7,1
15764,2021,4,4,1
15764,2022,3,3,1
15764,2023,1,1,1
15764,2024,2,2,1
15774,2021,1,1,1
15774,2024,3,3,1
15776,2021,2,2,1
15776,2022,6,6,1
15776,2023,4,4,1
