cod_mpio,year,month,sivigila_intento_suicidio,sivigila_intento_suicidio_confirmados
05093,2021,10,2,2
05093,2021,12,2,2
05093,2022,3,2,2
05093,2022,6,2,2
05093,2022,7,1,1
05093,2022,8,1,1
05093,2022,9,1,1
05093,2022,10,3,3
05093,2022,11,2,2
05093,2022,12,1,1
05093,2023,4,2,2
05093,2023,6,2,2
05093,2023,7,1,1
05093,2023,8,6,6
05093,2023,9,4,4
05093,2023,10,3,3
05093,2023,11,1,1
05093,2024,1,2,2
05093,2024,4,1,1
05093,2024,5,2,2
05093,2024,6,1,1
05093,2024,8,1,1
05093,2024,9,1,1
05093,2024,10,1,1
05093,2024,12,1,1
05101,2021,1,1,1
05101,2021,2,3,3
05101,2021,4,1,1
05101,2021,5,4,4
05101,2021,6,1,1
05101,2021,7,1,1
05101,2021,10,1,1
05101,2021,11,3,3
05101,2021,12,1,1
05101,2022,2,2,2
05101,2022,5,2,2
05101,2022,7,1,1
05101,2022,8,1,1
05101,2022,10,1,1
05101,2022,11,1,1
05101,2022,12,4,4
05101,2023,1,1,1
05101,2023,4,4,4
05101,2023,6,2,2
05101,2023,7,3,3
05101,2023,8,1,1
05101,2023,9,2,2
05101,2023,10,1,1
05101,2023,11,1,1
05101,2023,12,1,1
05101,2024,1,1,1
05101,2024,3,2,2
05101,2024,5,1,1
05101,2024,7,2,2
05101,2024,8,1,1
05101,2024,9,1,1
05101,2024,10,1,1
05101,2024,12,1,1
05107,2021,5,1,1
05107,2021,6,1,1
05107,2021,7,1,1
05107,2021,9,1,1
05107,2022,7,1,1
05107,2022,8,1,1
05107,2022,10,1,1
05107,2022,11,1,1
05107,2023,2,1,1
05107,2023,7,1,1
05107,2023,8,2,2
05107,2023,10,2,2
05107,2024,10,1,1
05113,2021,9,2,2
05113,2022,2,1,1
05113,2022,8,1,1
05113,2022,12,1,1
05113,2023,1,3,3
05113,2023,2,2,2
05113,2023,3,1,1
05113,2023,4,1,1
05113,2023,5,1,1
05113,2023,7,1,1
05113,2023,8,1,1
05120,2021,2,1,1
05120,2021,7,2,2
05120,2021,8,1,1
05120,2021,10,2,2
05120,2021,12,1,1
05120,2022,2,2,2
05120,2022,3,2,2
